Company,Domain,QRS Score,Urgency,Deal Value,Status,Industry,Geo
N26,n26.com,21,critical,$250,000,contacted,fintech,US
Revolut,revolut.com,32,high,$100,000,contacted,fintech,US
Monzo,monzo.com,31,high,$100,000,contacted,fintech,US
Transferwise,transferwise.com,39,high,$100,000,contacted,unknown,US
Klarna,klarna.com,22,critical,$250,000,contacted,fintech,US
Adyen,adyen.com,24,critical,$250,000,contacted,fintech,US
Mollie,mollie.com,41,high,$100,000,contacted,fintech,US
Pay,pay.nl,28,critical,$275,000,contacted,unknown,NL
Santander,santander.com,32,high,$100,000,contacted,banking,US
Bbva,bbva.com,30,high,$100,000,contacted,banking,US
Ing,ing.com,35,high,$100,000,contacted,banking,US
Abnamro,abnamro.com,31,high,$100,000,contacted,banking,US
Nordea,nordea.com,45,high,$100,000,contacted,banking,US
Seb,seb.se,37,high,$100,000,contacted,unknown,SE
Handelsbanken,handelsbanken.com,33,high,$100,000,contacted,unknown,US
Danskebank,danskebank.dk,22,critical,$250,000,contacted,unknown,DK
Commerzbank,commerzbank.de,25,critical,$300,000,contacted,banking,DE
Deutsche-bank,deutsche-bank.de,25,critical,$300,000,contacted,banking,DE
Bnp-paribas,bnp-paribas.com,32,high,$100,000,contacted,banking,US
Societegenerale,societegenerale.com,41,high,$100,000,contacted,unknown,US
Unicredit,unicredit.eu,27,critical,$250,000,contacted,banking,US
Intesasanpaolo,intesasanpaolo.com,37,high,$100,000,contacted,unknown,US
Bankia,bankia.es,37,high,$100,000,contacted,unknown,ES
Sabadell,sabadell.com,28,critical,$250,000,contacted,unknown,US
Caixabank,caixabank.com,34,high,$100,000,contacted,unknown,US
Kbc,kbc.com,29,critical,$250,000,scanned,unknown,US
Dbs,dbs.com,22,critical,$250,000,scanned,unknown,US
Ocbc,ocbc.com,31,high,$100,000,scanned,unknown,US
Uobgroup,uobgroup.com,39,high,$100,000,scanned,unknown,US
Grab,grab.com,29,critical,$250,000,scanned,unknown,US
Gojek,gojek.com,17,critical,$250,000,scanned,unknown,US
Flipkart,flipkart.com,41,high,$100,000,scanned,unknown,US
Zalando,zalando.com,31,high,$100,000,scanned,retail,US
Spotify,spotify.com,33,high,$100,000,scanned,tech,US
Nokia,nokia.com,27,critical,$250,000,scanned,tech,US
Ericsson,ericsson.com,35,high,$100,000,scanned,tech,US
Volvocars,volvocars.com,33,high,$100,000,scanned,unknown,US
Volvo,volvo.com,33,high,$100,000,scanned,unknown,US
Ikea,ikea.com,53,medium,$50,000,scanned,retail,US
H-m,h-m.com,27,critical,$250,000,scanned,retail,US
Allianz,allianz.com,30,high,$100,000,scanned,insurance,US
Axa,axa.com,29,critical,$250,000,scanned,insurance,US
Zurich,zurich.com,22,critical,$250,000,scanned,insurance,US
Generali,generali.com,35,high,$100,000,scanned,insurance,US
Munichre,munichre.com,33,high,$100,000,scanned,insurance,US
Swissre,swissre.com,24,critical,$250,000,scanned,insurance,US
Hartford,hartford.com,33,high,$100,000,scanned,unknown,US
Loews,loews.com,24,critical,$250,000,scanned,unknown,US
Baxter,baxter.com,40,high,$100,000,scanned,unknown,US
Philips,philips.com,26,critical,$250,000,scanned,unknown,US
Siemens,siemens.com,52,medium,$50,000,scanned,tech,US
Bosch,bosch.com,25,critical,$250,000,scanned,tech,US
